NodeIDParse,NextNodeParse,NodeNameParse,NodeDataParse,ChioceDataParse
0,1/2,恋爱物语,黄昏的时候，你准备回家，刚好在等红灯，有两只萝莉站在你旁边，一只双马尾，一只斜刘海。,再来一次？
1,3,双马尾,你看了一眼双马尾，觉得很不错。要不摸摸？,双马尾
2,5,斜刘海,从侧面看斜刘海只能看到一只眼睛，莫名有种汹涌澎湃的感觉，好在她并不是很高,斜刘海
3,4,摸摸,你直接伸手过去模了摸双马尾的头，她在玩手机并没有注意到你摸到她了。,摸摸
4,6,尴尬斯了,你从口袋掏出你的手机，试图缓解尴尬，但是没有想到气氛更加尴尬了。,假装玩手机缓解尴尬
5,4,搭讪,你跟她说了几句话，她都没有做出任何饭应，当她撩起她侧面的头发时，你才看到原来她带着耳机,跟她搭讪
6,7,S6,在尴尬的气氛中过了好一会，这是绿灯亮了。她们手牵着手一起走到马路对面，你楞了一会，差点错过绿灯。,...
7,8,S7,你直接跑到了马路对面，用手轻轻搭了下左边的小萝莉。她转过头来跟你说了一句:“なんですかお兄ちゃん？”,...
8,9,S8,w(?Д?)w没想到居然还是日本萝莉，得好好表现一下自己了。,...
9,10,结束了,结束了,...
