NodeIDParse,NodeNameParse,NextNodeParse,NodeDataParse,ChioceDataParse
1,Z0,2|3|4,早上，在兰斯顿城市爆发了僵尸瘟疫R病毒，蔓延速度很快。在早上8：30，你醒来了，看见电视播放着Breaking News。僵尸到处疯狂的破坏，而且一旦僵尸吐出来的液体接触到人或其他动物就会感染他们。你透过窗户看到街上有些僵尸在行走，这时候你会,1
,,,,
2,Z1,5|6|7,你快速地收拾好了行李，但是这时候你的疑心犯了，决定要去好友珍妮家查探情况，但是发现僵尸真的很多。,用很快的速度收拾好行李，准备出发到远处。
3,Z2,5|6|8,尽管外面一片狼藉，你淡定地坐在沙发上，enjoy着咖啡，看着电视，但是突然没电了，这时候你会,淡定的完成每日的洗漱。
4,Z3,5|6|9,你等待了十几分钟，警察是来了，但是由于警车的鸣笛声引来了更多的僵尸，警察都被困在了警车里面，僵尸汹涌而上，把警车包围得水泄不通，你吓坏了，如果僵尸换成正常人，你都觉得恶心,打电话报警，让警察帮忙解围。
5,Z4,10|11,从正门走出去，你看见一个漂亮的女孩蹲在树下，同时一只缺了脚的僵尸正向她走去，你会,从正门走出去
6,Z5,11|14,尽走到后门的花园，你发现电闸闪着火花，与此同时，邻居家二楼清晰的响起了打斗的声音，这时你听到了正门传来的敲门声，你会,走后门
7,Z6,10|12|14,你从家里的窗户扔出了一个乒乓球，不幸僵尸没有注意，但是发现了一个女孩，你会,引起僵尸注意
8,Z7,13|14|15,当你拿起手机的，发现点亮只剩下百分之一，又是昨晚修仙看剧的后果，你拿起手机拨打电话：“对不起，您所拨打的电话已关机。”,打电话给朋友
9,Z8,11|16,你锁上门窗，躲在沙发后面，静心地等待。突然天花炸了，穿了一个大窟窿，你大吃一惊,把家门封锁起来，直到僵尸散开为止
